lesson,q_type,term,line,prompt,correct,wrong1,wrong2,wrong3,option_images,tokens,audio,note,speaker,speaker_emotion
おはようとおやすみのDM,mcq,SUP,SUP,「SUP」の意味は?,調子はどう？／元気？,すぐ戻ります,いいよ・了解,またあとで話そう,,,sup.mp3,調子はどう？／元気？ / 例: She said 'Sup'. / 訳: 彼女は「調子どう？」と言った。 / 略: What's up? を短くした挨拶 / 由来: 「なにしてる？元気？」って友達にサラッと声をかける感じ。返しも同じく「Sup!」でOK。,slango,idle
おはようとおやすみのDM,mcq,BRB,BRB,「BRB」の意味は?,すぐ戻ります,調子はどう？／元気？,いいよ・了解,またあとで話そう,,,brb.mp3,"すぐ戻ります / 例: I'm gonna go eat, brb. / 訳: ちょっと食べてくる、すぐ戻る。 / 略: Be Right Back の頭文字 / 由来: 「ちょっと離れる、すぐ戻るね」って意味。ゲーム中やチャット中に「トイレ行ってくる」的な時に打つよ。",slango,idle
おはようとおやすみのDM,mcq,K,K,「K」の意味は?,いいよ・了解,調子はどう？／元気？,すぐ戻ります,またあとで話そう,,,k.mp3,"いいよ・了解 / 例: K, sounds good. / 訳: 了解、いいね。 / 略: OK の一文字省略 / 由来: 「OK」を1文字にした返事。ただし「K.」って点を付けると『怒ってる？』って思われがち。仲良い相手にだけ使ってね。",slango,idle
おはようとおやすみのDM,mcq,TTYL,TTYL,「TTYL」の意味は?,またあとで話そう,調子はどう？／元気？,すぐ戻ります,いいよ・了解,,,ttyl.mp3,"またあとで話そう / 例: Gotta go, ttyl! / 訳: もう行かなきゃ、またあとで！ / 略: Talk To You Later の頭文字 / 由来: 「またあとで話そう」の意味。おやすみ前や電話を切る時の「じゃあね〜」感覚。",slango,idle
おはようとおやすみのDM,mcq,TTYL,"Ok, _____!　(じゃあまたね！)",空欄に入るのは?,TTYL,Bro,Hilarious,Squad,,,ttyl.mp3,"またあとで話そう / 例: Ok, Ttyl! / 訳: じゃあまたね！ / 略: Talk To You Later の頭文字 / 由来: 「またあとで話そう」の意味。おやすみ前や電話を切る時の「じゃあね〜」感覚。",slango,idle
おはようとおやすみのDM,mcq_image,TTYL,TTYL,「TTYL」に合う意味は?,👋 またあとで話そう,💯 ガチで・かなり,💬 おしゃべりする・喋りすぎる,🎉 遊ぶ・つるむ,,,ttyl.mp3,"またあとで話そう / 例: Ok, ttyl! / 訳: じゃあまたね！ / 略: Talk To You Later の頭文字 / 由来: 「またあとで話そう」の意味。おやすみ前や電話を切る時の「じゃあね〜」感覚。",slango,idle
週末どこ行く？の予定バトル,mcq,ASAP,ASAP,「ASAP」の意味は?,出来るだけ早く,ところで,何してるの？,大した事ない,,,asap.mp3,出来るだけ早く / 例: Send it asap. / 訳: 出来るだけ早く送って。 / 略: As Soon As Possible の頭文字 / 由来: 「できるだけ早く」の意味。日本語の「なるはや」の英語版。仕事のメールでもよく使う。,plamon,idle
週末どこ行く？の予定バトル,mcq,ASAP,Send it _____.　(できるだけ早く送って。),空欄に入るのは?,ASAP,The audacity,Gross,LMAO,,,asap.mp3,出来るだけ早く / 例: Send it Asap. / 訳: できるだけ早く送って。 / 略: As Soon As Possible の頭文字 / 由来: 「できるだけ早く」の意味。日本語の「なるはや」の英語版。仕事のメールでもよく使う。,plamon,idle
週末どこ行く？の予定バトル,mcq_image,ASAP,ASAP,「ASAP」に合う意味は?,⚡ 出来るだけ早く,💬 理解したよ・わかった,💬 雰囲気・フィーリング・ノリ,💯 マジで？・ほんとに？,,,asap.mp3,出来るだけ早く / 例: Send it asap. / 訳: できるだけ早く送って。 / 略: As Soon As Possible の頭文字 / 由来: 「できるだけ早く」の意味。日本語の「なるはや」の英語版。仕事のメールでもよく使う。,plamon,idle
週末どこ行く？の予定バトル,mcq,BTW,BTW,「BTW」の意味は?,ところで,出来るだけ早く,何してるの？,大した事ない,,,btw.mp3,"ところで / 例: Btw, are you coming? / 訳: ところで、来るの？ / 略: By The Way の頭文字 / 由来: 「そういえば」「ところで」って話題を切り替える時の合図。メールでもチャットでも自然に使えるよ。",plamon,idle
週末どこ行く？の予定バトル,mcq,BTW,"_____, are you free?　(ところで、暇？)",空欄に入るのは?,BTW,Bet,Ick,Bestie,,,btw.mp3,"ところで / 例: Btw, are you free? / 訳: ところで、暇？ / 略: By The Way の頭文字 / 由来: 「そういえば」「ところで」って話題を切り替える時の合図。メールでもチャットでも自然に使えるよ。",plamon,idle
週末どこ行く？の予定バトル,mcq_image,BTW,BTW,「BTW」に合う意味は?,💡 ところで,💬 実は・ちょっと,👋 またあとで話そう,💬 そういうこと・その通り,,,btw.mp3,"ところで / 例: Btw, are you free? / 訳: ところで、暇？ / 略: By The Way の頭文字 / 由来: 「そういえば」「ところで」って話題を切り替える時の合図。メールでもチャットでも自然に使えるよ。",plamon,idle
